transaction_id,customer_id,refund_amount,refund_reason,refund_timestamp
46d9f847-a617-4b0e-a584-44b1cfa4e3d2,53988,32079.81,Operational,2025-05-09 22:58:40
57e0c89d-e783-444d-9b09-337d68885c79,25521,5503.89,Operational,2025-04-30 02:07:51
571d504a-2206-4207-8fb7-e6ce27d656a2,62837,25274.74,Operational,2025-05-18 07:23:14
70e74d56-93bf-4111-bde2-3d3d34edc7ef,65754,49563.24,Operational,2025-04-20 06:12:09
0fbcc2a8-55e3-4203-9f28-445310492e44,53772,43654.41,Operational,2025-04-12 22:48:37
020a6acc-d314-4a49-8fe1-409082eb68e7,86172,30348.97,Operational,2025-03-04 01:43:26
98a5c454-a88a-4521-8ed1-2be555d5839a,26716,27321.26,Operational,2025-02-10 16:42:55
d3019735-e3ca-4371-a13d-b256155388d3,60225,5338.42,Operational,2025-02-28 05:35:43
929d5f1c-141b-407f-b5f0-f5e3baf73d5e,69404,3072.64,Operational,2025-03-01 23:41:34
33395afc-16fc-4892-b3a9-101db3e787f9,60700,48113.15,Operational,2025-06-19 09:33:37
64b428cc-cfc6-4ee0-8c48-a6a48179bb98,85479,12138.44,Operational,2025-04-30 11:36:43
1790e1f7-f2f0-42f6-b347-288b6fa1bac1,74783,5487.15,Operational,2025-07-06 13:30:40
76bea220-03fa-44a9-ac3a-ff2f2e3b56d6,86831,39249.42,Operational,2025-01-20 09:15:22
f3cf0812-f772-4d98-a3c0-ef66a6f4e2f9,29156,33568.16,Operational,2025-06-09 04:29:19
359dd3c4-6ee5-4892-92cb-e6e3a7af3135,37905,11591.51,Operational,2025-06-07 21:35:48
97460d74-b16a-4840-a723-ca4b756c3260,32435,17261.83,Operational,2025-03-29 23:37:34
3321a4b0-903e-4314-aa0e-028a42f532f6,63607,17994.7,Operational,2025-05-31 00:22:43
635834d9-32a5-4047-9a85-44925399147b,69163,222.15,Operational,2025-03-28 07:30:55
b9236784-fc11-400e-8ae3-ad420ec6a087,50635,8699.79,Operational,2025-03-03 17:44:08
7e750762-7fe8-41a4-80d6-c62e2494d459,17761,16029.65,Operational,2025-03-21 16:40:09
6c3c7bd5-2dfa-4aac-9d64-1f098b359740,57473,33184.68,Operational,2025-02-19 18:13:57
973e0ee4-e063-4a8f-80fc-3520dc423fbc,68914,5447.09,Operational,2025-03-17 09:31:00
f4afb85d-bf7d-47f2-b551-08fccbcabea9,28950,17801.12,Operational,2025-04-07 05:12:11
79ebfeff-2cf5-43d1-8e29-03e931e161a6,85319,25171.35,Operational,2025-03-23 12:24:27
fce462f0-6e8a-4329-8ed6-eee3d6a6284b,60637,827.35,Operational,2025-06-18 18:48:06
1804a41c-2c44-4059-868f-a90c7ad6ff5b,45813,27011.24,Operational,2025-06-03 00:06:30
c9d896d2-ae00-4ebc-9bac-e4044054869a,95424,16613.91,Operational,2025-05-01 18:47:38
90535555-17a7-4534-96df-cf02aed38287,85965,24977.89,Operational,2025-06-24 05:50:46
13efd735-e594-4f3f-bec6-520d77a727f5,90674,13376.39,Operational,2025-03-16 15:26:21
88839dea-644e-4d34-8297-bb23e3cb4864,81158,14657.47,Operational,2025-06-28 06:49:07
4d7f92d7-4df4-4bf3-8c0f-9ad0ea5c34dd,94998,9837.08,Operational,2025-01-22 05:48:24
849d6683-87f2-4e80-8202-4689fddfe13b,99163,8038.44,Operational,2025-03-28 07:48:22
c697480f-cbeb-4912-95ff-d6c540f4d180,35796,18090.15,Operational,2025-04-17 01:38:50
a907cb7c-9a59-4dc1-9cfc-5f610fbd9441,76129,8772.82,Operational,2025-03-02 04:10:40
96881ec7-4cfb-47e5-9e27-0586090634ec,20942,27754.63,Operational,2025-03-26 13:32:59
d75c82cb-f99c-4186-92a9-73ce2555b9c1,18945,3379.37,Operational,2025-05-07 10:01:40
4c71a8d6-8c36-4c72-aa6a-782902573467,96532,11825.39,Operational,2025-03-05 06:44:00
f77202a2-6e57-4ee7-882b-e6f0716a314d,97965,33193.38,Operational,2025-04-08 07:40:02
6954086f-e853-4409-910d-33c2d255e777,25326,28658.84,Operational,2025-05-26 17:54:34
70b30d66-38c1-4f69-8ee2-db80782a4f1a,85317,35658.71,Operational,2025-05-01 02:49:59
b2947487-6eb0-4114-b6f3-52077929add7,17629,28702.8,Operational,2025-03-16 11:22:14
220d327a-4629-4b60-96e8-707d33ad8f7a,99245,16546.45,Operational,2025-06-24 19:59:18
023b313f-651e-4eac-95ab-37c18a2e57f1,42388,2185.48,Operational,2025-05-14 02:16:49
bcfd87e3-f0ed-4cc1-bb3e-cb91bebb1ef1,37057,24753.11,Operational,2025-06-27 03:54:22
c572b7b2-085f-46b2-a3f5-d866698c0aae,92506,20949.74,Operational,2025-02-15 22:43:04
fe6e2428-2101-4096-be19-a82ca9a13a6d,66957,1185.63,Operational,2025-01-25 11:20:31
81d89668-40f5-40b6-91ee-f940e2b4dfad,55983,1054.9,Operational,2025-01-23 04:24:30
faa8e1af-7235-425d-8bad-79e0a7e0f3e7,42361,13278.19,Operational,2025-06-18 23:06:01
d1f23e0f-ceb1-45a1-a883-53eb8286dfe3,14988,13102.15,Operational,2025-05-28 01:24:34
d326a886-76bb-47c6-a2a7-e215518c7e84,37393,48158.05,Operational,2025-06-13 16:48:47
504f5b42-d5b1-49d7-9e70-ad83c319331b,67500,9129.47,Operational,2025-05-06 11:42:09
08f080cc-0531-4b9c-823a-3a2a8163c00b,29645,44928.19,Operational,2025-02-04 04:34:41
3146c230-5aab-4e83-9983-e5743b26db84,71356,8082.56,Operational,2025-04-02 05:42:16
07bdcd61-bb47-4cf7-b5b3-b69dd671cf0b,97826,49630.79,Operational,2025-03-21 15:07:32
f681d22f-1cd5-45e3-84f0-762e7536ba0c,89413,20856.47,Operational,2025-02-08 14:50:25
54d6de37-153e-4a91-b3de-41a1807e4d1a,58033,8772.46,Operational,2025-06-09 22:43:02
c6865b88-0863-4c3f-9517-0a641fbdb851,45383,14847.81,Operational,2025-02-07 13:20:37
8bd362e5-6178-4ea4-9fe8-1a69c9b09dd8,52765,48122.13,Operational,2025-04-20 01:01:42
c8604434-6f8d-4496-8cf9-7ff60af79da9,24765,35995.62,Operational,2025-06-11 11:54:46
b0693893-ec3e-44e2-a08b-7aa4b352d1cf,72891,36574.27,Operational,2025-05-31 21:42:05
8175871d-2196-456e-9acb-765e9c4aba2a,76482,48951.94,Operational,2025-04-18 09:32:57
e8ea93b4-a888-4b98-8b67-ef5f41ae35e9,61632,27885.84,Operational,2025-06-13 19:06:16
4e40b37e-c743-467c-8875-7f0db03f622a,27010,38298.73,Operational,2025-03-09 23:40:44
f4f805f4-9acf-4a1e-9ea2-5a559a266eb8,66108,36445.68,Operational,2025-01-07 16:37:16
c1dbf8dc-9db3-4fd1-9ba0-50dcdf1bb09e,76159,48361.94,Operational,2025-02-11 11:08:39
451c3df8-02dd-4484-b100-814ed1718ed0,41229,33483.09,Operational,2025-04-27 04:09:23
6d1ce68b-d11b-4a3a-b936-bee85062ba74,84769,41354.67,Operational,2025-06-05 20:20:59
07cddc64-3103-4125-9421-8f88a73f2714,31874,10327.6,Operational,2025-02-19 02:00:12
5d4ee4c2-03a1-4b11-a1dd-e50c6b579553,96295,8285.65,Operational,2025-03-28 12:08:28
c3ffcb2c-866f-4399-96e8-f7f927a926e5,58572,335.32,Operational,2025-01-12 13:12:00
b66b8fa1-b05f-4b8d-9c0c-ca1457fd3377,22945,3542.15,Operational,2025-02-20 02:57:11
2cc0f14a-e14d-40c1-a4fc-ff719991c83d,89867,31535.98,Operational,2025-02-05 16:52:45
197162b5-b731-41e6-9e84-df9538576987,48686,11007.0,Operational,2025-03-21 20:08:02
6cbddb38-5a46-4a5a-aacd-7b49f1c09945,33116,16274.43,Operational,2025-05-29 03:57:19
