transaction_id|customer_id|amount|currency|status|channel|timestamp|fees_charged
198f2142-8416-470e-81c6-b32fa6b25537|25795|47538.18|KES|SUCCESS|Bank Transfer|13/04/2025 1:44|30
8bc47975-23ee-4392-9788-e3cc9159e273|47194|22989.48|KES|SUCCESS|M-Pesa|11/05/2025 18:40|229.89
a80ab4a3-8e68-4aeb-8cf4-ba323250a1cf|69735|41630.51|KES|SUCCESS|M-Pesa|21/01/2025 23:05|416.31
09d39b78-e89f-41af-a9d8-7acfa2846882|38693|402.96|KES|SUCCESS|M-Pesa|19/06/2025 5:07|4.03
e0764558-3f29-463e-92d9-50d139a2b088|69150|22830.7|KES|SUCCESS|M-Pesa|24/02/2025 18:33|228.31
6467ea79-2b6a-4acc-8453-89378443c543|21394|43004.02|KES|SUCCESS|M-Pesa|18/01/2025 2:57|430.04
5e1e60cf-310d-431f-9d57-9ded15d1517b|83969|19301.55|KES|SUCCESS|M-Pesa|02/04/2025 6:31|193.02
01ebb747-692d-4d4e-a945-80f65aba7816|27159|1767.71|KES|FAILED|M-Pesa|14/04/2025 5:24|17.68
e93d8507-d850-4e58-bb6f-a14adbf20dd9|88953|28406.63|KES|SUCCESS|Card|13/02/2025 18:14|426.1
33f57ce4-04b7-46c7-b597-910bf9d13ac9|42606|46097.62|KES|SUCCESS|M-Pesa|09/02/2025 6:27|460.98
da597cb7-0514-4527-af48-c4edd1ff2919|92798|41445.44|KES|SUCCESS|M-Pesa|04/05/2025 10:34|414.45
97757e92-33ca-42a3-825f-36e766291dad|58984|49345|KES|SUCCESS|M-Pesa|04/03/2025 1:27|493.45
972a87f5-df30-466c-b130-4e50902a0f9f|43159|36463.91|KES|SUCCESS|M-Pesa|10/02/2025 14:30|364.64
5316577e-83a5-4bf7-b878-372845dc2c4d|40535|22500.06|KES|SUCCESS|M-Pesa|03/03/2025 22:06|225
c1d1ea63-8acb-4633-8acb-9d88807f8c34|94651|31896|KES|FAILED|M-Pesa|11/04/2025 2:15|318.96
6cded0f1-944a-4e11-9963-047db9e2a9ef|62992|36100.39|KES|SUCCESS|M-Pesa|27/01/2025 0:03|361
a3f91d6f-4f28-4a9d-93d7-71fed7adf27b|33419|5439.18|KES|SUCCESS|Bank Transfer|21/02/2025 15:04|30
fe1b6b99-b06e-490a-b20a-a2ba58c81f09|28141|7009.61|KES|SUCCESS|M-Pesa|29/01/2025 9:23|70.1
a1021495-500d-457c-b4ea-fda07948c30d|91734|14523.09|KES|SUCCESS|USSD|14/02/2025 11:49|10
9aec3822-bbf0-4ec5-8c35-f68f1b005fc9|12693|22853.9|KES|SUCCESS|M-Pesa|16/03/2025 5:00|228.54
a323f4c7-2f3f-4cb8-895d-8e6aaeb7474d|25707|17847.08|KES|FAILED|M-Pesa|27/01/2025 17:02|61.89
c610d18d-827b-4a65-8aea-3f8921d4d8cf|19474|397.26|KES|SUCCESS|M-Pesa|14/06/2025 3:45|3.97
9e0b4804-025f-4012-ac98-f7ed0d58b9be|44766|8456.14|KES|SUCCESS|Bank Transfer|29/06/2025 15:06|30
25f2c7b4-9178-4d1a-885d-f61032725028|49353|48124.24|KES|SUCCESS|M-Pesa|23/04/2025 18:39|481.24
dad5021d-a5a6-465f-9a26-2dcde6697100|36736|48831.92|KES|SUCCESS|M-Pesa|09/05/2025 12:58|488.32
35f50253-c056-4a66-9ddb-fc8edd21f7da|60859|22416.77|KES|SUCCESS|Bank Transfer|03/05/2025 3:31|30
30cec94a-039f-40fa-bbe6-18f3ef92e1e0|77863|23541.52|KES|PENDING|M-Pesa|24/05/2025 6:59|235.42
083ccb28-f342-486e-92bb-bec7a8b21285|96202|9366.6|KES|SUCCESS|Bank Transfer|13/06/2025 20:01|30
572806d1-2689-4189-854b-2d36617aa990|21411|32276.38|KES|SUCCESS|Bank Transfer|08/05/2025 3:05|30
05375e46-de58-43c2-964e-d4146d6cdce4|18155|36774.05|KES|SUCCESS|M-Pesa|11/02/2025 8:25|367.74
528890ae-1c88-49e9-9a21-21faa48724dc|26371|26506.05|KES|SUCCESS|M-Pesa|20/05/2025 5:48|265.06
08731896-d05d-4b32-bf57-78b31a3bd220|71434|9475.92|KES|SUCCESS|Card|11/05/2025 1:14|142.14
50630abc-4f8f-48b1-912a-07d7ada06440|69040|32119.48|KES|SUCCESS|M-Pesa|15/06/2025 14:49|321.19
f3fbc09e-25d3-49b7-9c14-7c2a8b3a0531|58354|18645.52|KES|PENDING|App|26/05/2025 13:02|10
d0613773-2bb8-4a15-966e-56b61197393b|87505|34610.17|KES|SUCCESS|M-Pesa|10/06/2025 10:41|346.1
400f11c7-df11-4972-9f74-e90bbb329115|96831|37337.25|KES|SUCCESS|Card|25/05/2025 19:31|560.06
3a89181d-7aac-4e0b-818c-bcf8f9c7df4b|80091|25465.26|KES|SUCCESS|M-Pesa|07/06/2025 22:11|254.65
7c3df66f-6fb4-4703-a8f6-be4148a8bc56|84290|44607.73|KES|SUCCESS|Card|30/01/2025 11:03|669.12
cda60bbf-d253-4a83-a014-66f385b6afdf|50764|24984.71|KES|SUCCESS|Card|17/01/2025 15:41|374.77
f4b09cf0-1cc3-4ea1-a3d8-040dc677168d|53484|14014.04|KES|FAILED|Card|06/02/2025 5:11|210.21
880ea482-6616-4d0a-ac27-1cafa3079a06|10301|48334.41|KES|PENDING|USSD|09/06/2025 1:41|10
1c07b133-4111-435a-b516-d15be761d676|95314|8516.16|KES|SUCCESS|USSD|27/02/2025 14:24|10
71f5cfe6-8cbb-42e8-a6da-50afee3de286|82991|33573.62|KES|SUCCESS|M-Pesa|10/05/2025 12:30|335.74
afd0f902-c434-4a26-b75a-9574d53bc9c5|88069|18006.58|KES|SUCCESS|Card|09/04/2025 14:09|270.1
583cae84-b5cb-4dd3-a38e-4db96d4c50a9|18716|4125.63|KES|SUCCESS|Bank Transfer|20/01/2025 0:39|30
56807a73-607b-4c68-8362-61079c35bb2e|80031|2585.89|KES|FAILED|M-Pesa|08/04/2025 21:50|25.86
b7f2dd44-4681-49e7-a077-387b4499390c|62921|27155.1|KES|SUCCESS|Bank Transfer|27/03/2025 8:37|30
718334f0-6571-4294-a8af-7ec66eddcedf|63006|18041.52|KES|SUCCESS|M-Pesa|22/02/2025 0:50|180.42
aca28d70-5aec-4d9e-a45d-c5261a59f06d|97142|4313.11|KES|SUCCESS|M-Pesa|16/02/2025 22:25|43.13
3f8fee2b-3eab-494f-b2a3-34c2bba4951e|83523|6680.63|KES|PENDING|Card|27/05/2025 20:30|100.21
9790b5eb-4495-4543-b2ca-a5504415d1ca|38251|37214.93|KES|SUCCESS|M-Pesa|03/03/2025 14:26|372.15
4c66b849-deba-410a-845b-ca7081c20145|84740|2956.77|KES|FAILED|M-Pesa|06/04/2025 2:10|29.57
b6a45255-4e33-4acb-b63e-05e325fc8cba|30056|33026.86|KES|SUCCESS|App|10/03/2025 16:33|10
4ac966bf-b85d-491b-b4db-7953dae57511|77215|7974.39|KES|SUCCESS|M-Pesa|10/03/2025 12:14|79.74
156c46ef-6177-46a0-8acf-ce34c28a7c85|88781|35197.71|KES|SUCCESS|M-Pesa|25/06/2025 17:25|351.98
1693739e-c95a-4ad5-9267-a122e8a39214|36646|2450.54|KES|PENDING|USSD|29/06/2025 11:09|7.53
61ecdfbf-f70d-4614-b741-e6160e827461|19823|42831.67|KES|SUCCESS|M-Pesa|24/01/2025 16:01|428.32
ecd7b6d9-c198-4fe9-be2d-8c2258e95ed3|59115|29309.49|KES|PENDING|Bank Transfer|27/06/2025 3:18|30
60609b19-f1d4-4afb-87e7-431c32b2a0e7|14000|40569.65|KES|FAILED|Bank Transfer|06/03/2025 10:38|30
3ddab82a-93c8-407f-97e4-1383c2984a58|92986|9829.77|KES|SUCCESS|M-Pesa|10/05/2025 7:35|98.3
9a5618ba-d141-44a2-99af-d52d5ee88dad|35351|19300.56|KES|SUCCESS|M-Pesa|25/04/2025 5:39|193.01
34292390-e175-4351-b1a9-f66bc4faedf0|99588|17449.41|KES|FAILED|M-Pesa|21/01/2025 12:20|174.49
940b9916-de4c-410d-b0db-df55817a4330|45735|40351.4|KES|PENDING|M-Pesa|06/04/2025 16:23|403.51
d42c0bf6-221d-40e6-8552-a80d5ce73eac|42479|42927.72|KES|SUCCESS|Card|09/04/2025 5:55|643.92
